Crime_ID,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
20,14068771,JJ538223,12/27/2025 12:00:00 AM,043XX S MARSHFIELD AVE,0890,THEFT,FROM BUILDING,APARTMENT,False,False,924,9.0,15.0,61.0,06,1166062.0,1875968.0,2025,01/03/2026 03:41:35 PM,41.815236246,-87.666373972,"(41.815236246, -87.666373972)"
21,14066771,JJ535778,12/26/2025 11:51:00 PM,063XX S ABERDEEN ST,0460,BATTERY,SIMPLE,RESIDENCE,False,False,724,7.0,16.0,68.0,08B,1170071.0,1862762.0,2025,01/03/2026 03:41:35 PM,41.778911187,-87.652052262,"(41.778911187, -87.652052262)"
22,14069263,JJ537866,12/26/2025 11:50:00 PM,037XX E 87TH ST,0610,BURGLARY,FORCIBLE ENTRY,VACANT LOT / LAND,False,False,424,4.0,10.0,46.0,05,1202892.0,1848129.0,2025,01/03/2026 03:41:35 PM,41.737980878,-87.532229701,"(41.737980878, -87.532229701)"
23,14066687,JJ535788,12/26/2025 11:50:00 PM,005XX S PULASKI RD,041A,BATTERY,AGGRAVATED - HANDGUN,CTA PLATFORM,False,False,1132,11.0,24.0,26.0,04B,1149812.0,1897228.0,2025,01/03/2026 03:41:35 PM,41.873907046,-87.725430093,"(41.873907046, -87.725430093)"
24,14066724,JJ535777,12/26/2025 11:50:00 PM,012XX N KARLOV AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2534,25.0,37.0,23.0,08B,1148818.0,1908116.0,2025,01/03/2026 03:41:35 PM,41.903804161,-87.728797986,"(41.903804161, -87.728797986)"
25,14066696,JJ535781,12/26/2025 11:41:00 PM,055XX W SCHOOL ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,1633,16.0,30.0,15.0,08B,1138888.0,1921393.0,2025,01/03/2026 03:41:35 PM,41.940423951,-87.764950486,"(41.940423951, -87.764950486)"
26,14066678,JJ535768,12/26/2025 11:38:00 PM,011XX S HALSTED ST,2031,NARCOTICS,POSSESS - METHAMPHETAMINE,STREET,True,False,1232,12.0,28.0,28.0,18,1171209.0,1895399.0,2025,01/03/2026 03:41:35 PM,41.868445426,-87.646924361,"(41.868445426, -87.646924361)"
27,14066753,JJ535834,12/26/2025 11:30:00 PM,089XX S EBERHART AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,False,True,633,6.0,8.0,44.0,04B,1181146.0,1845636.0,2025,01/03/2026 03:41:35 PM,41.73166765,-87.611977113,"(41.73166765, -87.611977113)"
28,14066673,JJ535769,12/26/2025 11:30:00 PM,014XX N LUNA AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,2532,25.0,37.0,25.0,04A,1139073.0,1909046.0,2025,01/03/2026 03:41:35 PM,41.906539063,-87.764571529,"(41.906539063, -87.764571529)"
29,14066708,JJ535762,12/26/2025 11:30:00 PM,002XX N PULASKI RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1114,11.0,28.0,26.0,07,1149691.0,1901071.0,2025,01/03/2026 03:41:35 PM,41.884455018,-87.725774467,"(41.884455018, -87.725774467)"
30,14066809,JJ535821,12/26/2025 11:30:00 PM,072XX S JEFFERY BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,True,True,333,3.0,5.0,43.0,14,1190801.0,1857192.0,2025,01/03/2026 03:41:35 PM,41.763150858,-87.576235076,"(41.763150858, -87.576235076)"
31,14066785,JJ535763,12/26/2025 11:20:00 PM,121XX S LA SALLE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,523,5.0,9.0,53.0,14,1177460.0,1824344.0,2025,01/03/2026 03:41:35 PM,41.673323372,-87.626120823,"(41.673323372, -87.626120823)"
