Crime_ID,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
87,14067024,JJ535946,12/26/2025 09:00:00 PM,062XX N FAIRFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2413,24.0,50.0,2.0,08B,1156870.0,1941271.0,2025,01/03/2026 03:41:35 PM,41.994624086,-87.698318608,"(41.994624086, -87.698318608)"
88,14066700,JJ535690,12/26/2025 09:00:00 PM,036XX E 101ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,432,4.0,10.0,52.0,08B,1202242.0,1838646.0,2025,01/03/2026 03:41:35 PM,41.711975412,-87.53493331,"(41.711975412, -87.53493331)"
89,14067374,JJ536127,12/26/2025 08:56:00 PM,064XX N SHERIDAN RD,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,2432,24.0,49.0,1.0,06,1167108.0,1942847.0,2025,01/03/2026 03:41:35 PM,41.998734156,-87.660613118,"(41.998734156, -87.660613118)"
90,14067357,JJ536349,12/26/2025 08:45:00 PM,032XX N CLARK ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1924,19.0,44.0,6.0,06,1169868.0,1921628.0,2025,01/03/2026 03:41:35 PM,41.94044868,-87.651081589,"(41.94044868, -87.651081589)"
91,14066585,JJ535681,12/26/2025 08:35:00 PM,033XX N KILDARE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1731,17.0,30.0,16.0,14,1147135.0,1921675.0,2025,01/03/2026 03:41:35 PM,41.941043732,-87.734632376,"(41.941043732, -87.734632376)"
92,14070629,JJ540228,12/26/2025 08:35:00 PM,0000X N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,112,1.0,34.0,32.0,06,1176363.0,1900552.0,2025,01/03/2026 03:41:35 PM,41.882470918,-87.627847625,"(41.882470918, -87.627847625)"
93,14066939,JJ536069,12/26/2025 08:30:00 PM,002XX S HALSTED ST,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,1232,12.0,34.0,28.0,06,1171082.0,1899265.0,2025,01/03/2026 03:41:35 PM,41.879056794,-87.64727716,"(41.879056794, -87.64727716)"
94,14066579,JJ535673,12/26/2025 08:30:00 PM,0000X E HADDOCK PL,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,ALLEY,True,False,111,1.0,42.0,32.0,18,1176839.0,1901952.0,2025,01/03/2026 03:41:35 PM,41.886301843,-87.626057396,"(41.886301843, -87.626057396)"
95,14067135,JJ536332,12/26/2025 08:30:00 PM,064XX S HERMITAGE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,725,7.0,15.0,67.0,14,1165778.0,1861917.0,2025,01/03/2026 03:41:35 PM,41.776684652,-87.667814755,"(41.776684652, -87.667814755)"
96,14066586,JJ535686,12/26/2025 08:30:00 PM,047XX N WESTERN AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,False,1911,19.0,47.0,4.0,08A,1159515.0,1931346.0,2025,01/03/2026 03:41:35 PM,41.967335221,-87.688863767,"(41.967335221, -87.688863767)"
97,14067096,JJ536204,12/26/2025 08:30:00 PM,054XX N ORIOLE AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,1613,16.0,41.0,10.0,06,1124676.0,1935154.0,2025,01/03/2026 03:41:35 PM,41.978432432,-87.816880717,"(41.978432432, -87.816880717)"
98,14067355,JJ536207,12/26/2025 08:30:00 PM,002XX W WILLOW ST,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,False,False,1814,18.0,43.0,7.0,06,1174109.0,1912076.0,2025,01/03/2026 03:41:35 PM,41.914143937,-87.635780207,"(41.914143937, -87.635780207)"
99,14066701,JJ535790,12/26/2025 08:25:00 PM,083XX S MARSHFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,614,6.0,18.0,71.0,08B,1166796.0,1849308.0,2025,01/03/2026 03:41:35 PM,41.742062159,-87.664442221,"(41.742062159, -87.664442221)"
100,14066620,JJ535688,12/26/2025 08:25:00 PM,032XX N CICERO AVE,502R,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,True,False,1634,16.0,31.0,15.0,26,1143808.0,1920986.0,2025,01/03/2026 03:41:35 PM,41.939216164,-87.746877814,"(41.939216164, -87.746877814)"
